water_saturation,water_relative_permeability,oil_relative_permeability,water_oil_capillary_pressure,iteration,N_w,N_o,coef_water,day,well_type,oil_prod,water_prod,gas_prod,res_vol_prod,oil_inj,water_inj,gas_inj,res_vol_inj
1.0,0.35,0.0,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,PROD,43428.7,34.9,350.9,285542.2,0.0,0.0,0.0,0.0
1.0,0.35,0.0,0.0,2,1.4772235901222732,4.874770099890961,0.35,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252900.1
0.12,0.0,0.5739970746925445,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.12,0.0,0.5739970746925445,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.18,0.02,0.4224028456846908,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.18,0.02,0.4224028456846908,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.24,0.04,0.3036822764681556,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.24,0.04,0.3036822764681556,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.3,0.05,0.21248123980684877,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.3,0.05,0.21248123980684877,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.36,0.07,0.1439840735552214,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.36,0.07,0.1439840735552214,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.42,0.08,0.09389859865503354,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.42,0.08,0.09389859865503354,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.48,0.1,0.05844026354602659,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.48,0.1,0.05844026354602659,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.54,0.12,0.034315273464306226,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.54,0.12,0.034315273464306226,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.6,0.14,0.0187025221407893,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.6,0.14,0.0187025221407893,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.66,0.16,0.0092340840152035,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.66,0.16,0.0092340840152035,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.72,0.18,0.003973935091989952,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.72,0.18,0.003973935091989952,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.78,0.21,0.001394426340196648,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.78,0.21,0.001394426340196648,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.84,0.23,0.0003497843344267141,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.84,0.23,0.0003497843344267141,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.91,0.26,2.875272169354719e-05,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
0.91,0.26,2.875272169354719e-05,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
1.0,0.3,0.0,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,PROD,43656.3,26.3,351.2,286128.4,0.0,0.0,0.0,0.0
1.0,0.3,0.0,0.0,3,1.4772235901222732,4.342613923681759,0.3,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252921.2
0.12,0.0,0.5304491702923844,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.12,0.0,0.5304491702923844,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.18,0.07,0.37370748654269254,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.18,0.07,0.37370748654269254,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.24,0.11,0.25636355549287454,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.24,0.11,0.25636355549287454,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.3,0.16,0.17049568825265676,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.3,0.16,0.17049568825265676,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.36,0.21,0.10931672369271744,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.36,0.21,0.10931672369271744,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.42,0.26,0.06708791111544077,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.42,0.26,0.06708791111544077,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.48,0.31,0.039032494720807887,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.48,0.31,0.039032494720807887,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.54,0.37,0.021248970478972985,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.54,0.37,0.021248970478972985,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.6,0.44,0.010623979711048606,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.6,0.44,0.010623979711048606,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.66,0.5,0.00474479509734008,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.66,0.5,0.00474479509734008,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.72,0.57,0.0018113427328174945,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.72,0.57,0.0018113427328174945,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.78,0.64,0.0005476859912366736,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.78,0.64,0.0005476859912366736,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.84,0.72,0.00011286894490077246,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.84,0.72,0.00011286894490077246,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.91,0.81,6.5046801980972336e-06,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
0.91,0.81,6.5046801980972336e-06,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
1.0,0.93,0.0,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,PROD,43401.7,63.0,351.0,285827.0,0.0,0.0,0.0,0.0
1.0,0.93,0.0,0.0,4,1.4772235901222732,4.959824909155752,0.93,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,253123.8
0.12,0.0,0.5675576064178907,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,PROD,43607.7,34.6,351.3,286173.5,0.0,0.0,0.0,0.0
0.12,0.0,0.5675576064178907,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252978.9
0.18,0.03,0.41506909782843704,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,PROD,43607.7,34.6,351.3,286173.5,0.0,0.0,0.0,0.0
0.18,0.03,0.41506909782843704,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252978.9
0.24,0.05,0.2964152510730492,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,PROD,43607.7,34.6,351.3,286173.5,0.0,0.0,0.0,0.0
0.24,0.05,0.2964152510730492,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252978.9
0.3,0.07,0.20589679339424502,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,PROD,43607.7,34.6,351.3,286173.5,0.0,0.0,0.0,0.0
0.3,0.07,0.20589679339424502,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252978.9
0.36,0.09,0.1384231409167212,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,PROD,43607.7,34.6,351.3,286173.5,0.0,0.0,0.0,0.0
0.36,0.09,0.1384231409167212,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252978.9
0.42,0.11,0.08949118119602505,0.0,5,1.4772235901222732,4.430869803258425,0.4,3650,PROD,43607.7,34.6,351.3,286173.5,0.0,0.0,0.0,0.0
